STIS Model Line Spread Function vs Aperture at 320 nm
Rel_pixel      52x0.1    52x0.2    52x0.5    52x2.0
 13.031        0.0000    0.0000    0.0000    0.0025
 13.104        0.0000    0.0000    0.0000    0.0025
 13.177        0.0000    0.0000    0.0000    0.0025
 13.250        0.0000    0.0000    0.0000    0.0024
 13.322        0.0000    0.0000    0.0000    0.0024
 13.395        0.0000    0.0000    0.0000    0.0024
 13.468        0.0000    0.0000    0.0000    0.0024
 13.541        0.0000    0.0000    0.0000    0.0024
 13.614        0.0000    0.0000    0.0000    0.0024
 13.686        0.0000    0.0000    0.0000    0.0024
 13.759        0.0000    0.0000    0.0000    0.0023
 13.832        0.0000    0.0000    0.0000    0.0023
 13.905        0.0000    0.0000    0.0000    0.0023
 13.978        0.0000    0.0000    0.0000    0.0023
 14.050        0.0000    0.0000    0.0000    0.0023
 14.123        0.0000    0.0000    0.0000    0.0022
 14.196        0.0000    0.0000    0.0000    0.0022
 14.269        0.0000    0.0000    0.0000    0.0022
 14.342        0.0000    0.0000    0.0000    0.0022
 14.414        0.0000    0.0000    0.0000    0.0022
 14.487        0.0000    0.0000    0.0000    0.0021
 14.560        0.0000    0.0000    0.0000    0.0021
 14.633        0.0000    0.0000    0.0000    0.0021
 14.706        0.0000    0.0000    0.0000    0.0021
 14.778        0.0000    0.0000    0.0000    0.0021
 14.851        0.0000    0.0000    0.0000    0.0021
 14.924        0.0000    0.0000    0.0000    0.0021
 14.997        0.0000    0.0000    0.0000    0.0020
 15.070        0.0000    0.0000    0.0000    0.0020
 15.142        0.0000    0.0000    0.0000    0.0020
 15.215        0.0000    0.0000    0.0000    0.0020
 15.288        0.0000    0.0000    0.0000    0.0020
 15.361        0.0000    0.0000    0.0000    0.0020
 15.434        0.0000    0.0000    0.0000    0.0020
 15.506        0.0000    0.0000    0.0000    0.0020
 15.579        0.0000    0.0000    0.0000    0.0020
 15.652        0.0000    0.0000    0.0000    0.0020
 15.725        0.0000    0.0000    0.0000    0.0020
 15.798        0.0000    0.0000    0.0000    0.0019
 15.870        0.0000    0.0000    0.0000    0.0019
 15.943        0.0000    0.0000    0.0000    0.0019
 16.016        0.0000    0.0000    0.0000    0.0019
 16.089        0.0000    0.0000    0.0000    0.0018
 16.162        0.0000    0.0000    0.0000    0.0018
 16.234        0.0000    0.0000    0.0000    0.0018
 16.307        0.0000    0.0000    0.0000    0.0017
 16.380        0.0000    0.0000    0.0000    0.0017
 16.453        0.0000    0.0000    0.0000    0.0017
 16.526        0.0000    0.0000    0.0000    0.0017
 16.598        0.0000    0.0000    0.0000    0.0016
 16.671        0.0000    0.0000    0.0000    0.0016
 16.744        0.0000    0.0000    0.0000    0.0016
 16.817        0.0000    0.0000    0.0000    0.0016
 16.890        0.0000    0.0000    0.0000    0.0016
 16.962        0.0000    0.0000    0.0000    0.0016
 17.035        0.0000    0.0000    0.0000    0.0015
 17.108        0.0000    0.0000    0.0000    0.0015
 17.181        0.0000    0.0000    0.0000    0.0015
 17.254        0.0000    0.0000    0.0000    0.0015
 17.326        0.0000    0.0000    0.0000    0.0015
 17.399        0.0000    0.0000    0.0000    0.0015
 17.472        0.0000    0.0000    0.0000    0.0015
 17.545        0.0000    0.0000    0.0000    0.0015
 17.618        0.0000    0.0000    0.0000    0.0015
 17.690        0.0000    0.0000    0.0000    0.0015
 17.763        0.0000    0.0000    0.0000    0.0015
 17.836        0.0000    0.0000    0.0000    0.0014
 17.909        0.0000    0.0000    0.0000    0.0014
 17.982        0.0000    0.0000    0.0000    0.0014
 18.054        0.0000    0.0000    0.0000    0.0014
